Verwaltungsbezirk_Nr.;Name;Wahlberechtigte_insgesamt;Wähler/-innen;Wahlbeteiligung;Ungültige_Stimmen;Gültige_Stimmen;CDU;SPD;GRÜNE;AfD;DIE_LINKE;FDP;PIRATEN;Tierschutzpartei;NPD;Die_PARTEI;FAMILIE;FREIE_WÄHLER;Volksabstimmung;ÖDP;DKP;MLPD;BP;SGP;TIERSCHUTZ_hier!;Tierschutzallianz;Bündnis_C;BIG;BGE;DIE_DIREKTE!;DiEM25;III._Weg;Die_Grauen;DIE_RECHTE;DIE_VIOLETTEN;LIEBE;DIE_FRAUEN;Graue_Panther;LKR;MENSCHLICHE_WELT;NL;ÖkoLinX;Die_Humanisten;PARTEI_FÜR_DIE_TIERE;Gesundheitsforschung;Volt;
5911;Kreisfreie_Stadt_Bochum;271416;165855;61,11;0,82;99,18;19,66;22,82;24,18;9,4;5,63;5,54;0,77;1,66;0,2;3,22;0,63;0,58;0,15;0,43;0,05;0,13;0,06;0,02;0,27;0,13;0,11;0,44;0,09;0,05;0,36;0,02;0,19;0,13;0,09;0,09;0,16;0,23;0,08;0,09;0,07;0,1;0,25;0,24;0,16;0,71;99,19
5913;Kreisfreie_Stadt_Dortmund;412595;241207;58,46;0,7;99,3;19,14;22,72;24,78;9,13;5,56;5,89;0,92;1,65;0,18;3,21;0,6;0,58;0,15;0,45;0,07;0,07;0,05;0,01;0,27;0,15;0,06;0,56;0,1;0,08;0,36;0,01;0,22;0,26;0,08;0,09;0,13;0,26;0,07;0,08;0,05;0,11;0,2;0,21;0,13;0,67;99,31
5914;Kreisfreie_Stadt_Hagen;130560;72691;55,68;0,88;99,12;23,94;22,12;18,16;12,49;4,33;6,39;0,74;1,95;0,23;2,21;0,77;0,75;0,15;0,48;0,04;0,11;0,09;0,01;0,22;0,16;0,13;1,01;0,06;0,06;0,24;0,02;0,26;0,09;0,08;0,11;0,13;0,27;0,09;0,07;0,04;0,07;0,14;0,29;0,17;0,43;99,1
5915;Kreisfreie_Stadt_Hamm;125696;72575;57,74;0,83;99,17;26,89;22,87;19,08;10,81;4,08;5,76;0,8;1,57;0,2;1,93;0,64;0,67;0,15;0,34;0,03;0,02;0,06;0,01;0,27;0,13;0,06;0,64;0,05;0,05;0,15;0,02;0,17;0,15;0,06;0,06;0,11;0,18;0,08;0,06;0,03;0,05;0,13;0,22;0,12;0,44;99,14
5916;Kreisfreie_Stadt_Herne;110657;59376;53,66;1,09;98,91;19,82;26,47;17,29;13,1;5;5,04;0,99;2;0,24;2,39;0,8;0,56;0,15;0,28;0,04;0,13;0,05;0,01;0,33;0,18;0,14;1,12;0,08;0,06;0,2;0,02;0,27;0,07;0,1;0,1;0,18;0,31;0,07;0,07;0,04;0,06;0,21;0,31;0,17;0,45;98,9
5954;Ennepe-Ruhr-Kreis;251943;156316;62,04;0,77;99,23;22,9;22,82;23,39;9,1;4,04;6,42;0,98;1,81;0,16;2,44;0,68;0,53;0,12;0,46;0,05;0,09;0,06;0,01;0,23;0,14;0,16;0,26;0,08;0,07;0,27;0,02;0,22;0,05;0,08;0,09;0,12;0,21;0,06;0,06;0,05;0,08;0,13;0,23;0,13;0,45;99,25
5958;Hochsauerlandkreis;201504;125070;62,07;0,65;99,35;41,32;17,06;15,9;7,36;2,83;6,73;0,52;1,2;0,14;1,8;0,73;0,83;0,14;0,39;0,01;0,02;0,05;0;0,19;0,11;0,07;0,09;0,04;0,03;0,11;0,02;0,14;0,03;0,08;0,08;0,11;0,17;0,08;0,05;0,03;0,03;0,11;0,18;0,14;0,41;99,33
5962;Märkischer_Kreis;302136;170134;56,31;0,87;99,13;31,04;19,29;17,87;9,99;3,68;7,04;0,66;1,72;0,2;1,82;0,8;0,73;0,18;0,58;0,03;0,04;0,07;0,01;0,29;0,15;0,32;0,36;0,06;0,06;0,18;0,02;0,23;0,05;0,09;0,08;0,12;0,23;0,09;0,07;0,03;0,05;0,13;0,21;0,15;0,41;99,13
5966;Kreis_Olpe;102295;64922;63,47;0,7;99,3;45,69;15,34;14,57;7,28;2,49;6,76;0,46;1,12;0,11;1,53;0,68;0,6;0,11;0,35;0,03;0,03;0,08;0,02;0,15;0,1;0,07;0,08;0,04;0,04;0,11;0,07;0,15;0,04;0,07;0,05;0,11;0,12;0,1;0,07;0,03;0,02;0,09;0,13;0,12;0,3;99,31
5970;Kreis_Siegen-Wittgenstein;211301;130012;61,53;0,76;99,24;28,96;20,38;17,53;10,33;4,39;6,64;0,62;1,5;0,16;2,39;0,78;0,7;0,17;1,2;0,03;0,02;0,11;0,02;0,18;0,13;0,46;0,25;0,05;0,05;0,22;0,05;0,19;0,05;0,07;0,09;0,11;0,2;0,12;0,08;0,04;0,09;0,18;0,19;0,12;0,4;99,25
5974;Kreis_Soest;232462;140546;60,46;0,62;99,38;33,24;17,82;20,94;8,06;3,56;6,98;0,6;1,36;0,13;1,97;0,76;0,61;0,13;0,42;0,04;0,02;0,04;0,01;0,2;0,13;0,14;0,09;0,06;0,06;0,19;0,01;0,19;0,05;0,09;0,09;0,12;0,16;0,09;0,07;0,03;0,06;0,14;0,17;0,14;0,41;99,38
5978;Kreis_Unna;304843;181778;59,63;0,86;99,14;23,72;25,08;20,69;9,73;4,07;5,85;0,74;1,63;0,19;1,99;0,82;0,74;0,17;0,36;0,03;0,04;0,06;0,02;0,28;0,15;0,07;0,33;0,06;0,06;0,15;0,01;0,24;0,1;0,07;0,08;0,1;0,24;0,07;0,08;0,04;0,04;0,15;0,24;0,17;0,44;99,1
